Time,secs	AreaA,cm2	AreaA,A	Unused    	Unused    	PiA,mN/m	Unused    	Unused    	Unused    	Unused    	Unused
390.110000	220.191117	9.505968	-595.823653	-595.823653	5.659235	45.475000	0.000000		160.940654	NaN
390.610000	220.131030	9.503374	-595.823653	-595.823653	5.659235	45.475000	0.000000		160.931774	NaN
391.110000	219.890680	9.492997	-595.823653	-595.823653	5.673348	45.475000	0.000000		160.940654	NaN
391.610000	219.830592	9.490403	-595.823653	-595.823653	5.659235	45.475000	0.000000		160.949534	NaN
392.110000	219.830592	9.490403	-595.823653	-595.823653	5.663939	45.475000	0.000000		160.940654	NaN
392.610000	219.830592	9.490403	-595.823653	-595.823653	5.6968689999999995	45.475000	0.000000		160.940654	NaN
393.110000	219.890680	9.492997	-595.823653	-595.823653	5.701573	45.475000	0.000000		160.949534	NaN
393.610000	219.890680	9.492997	-595.823653	-595.823653	5.6827559999999995	45.475000	0.000000		160.949534	NaN
394.110000	219.830592	9.490403	-595.823653	-595.823653	5.72039	45.475000	0.000000		160.940654	NaN
394.610000	219.470067	9.474839	-595.823653	-595.823653	5.734503	45.475000	0.000000		160.958415	NaN
395.110000	219.530155	9.477433	-595.823653	-595.823653	5.710982	45.475000	0.000000		160.958415	NaN
395.610000	219.590242	9.480027	-595.823653	-595.823653	5.739207	45.475000	0.000000		160.958415	NaN
396.110000	219.530155	9.477433	-595.823653	-595.823653	5.715686	45.475000	0.000000		160.958415	NaN
396.610000	219.530155	9.477433	-595.823653	-595.823653	5.758024	45.475000	0.000000		160.958415	NaN
397.110000	219.530155	9.477433	-595.823653	-595.823653	5.729799	45.475000	0.000000		160.958415	NaN
397.610000	219.470067	9.474839	-595.823653	-595.823653	5.743912	45.475000	0.000000		160.967295	NaN
398.110000	219.169630	9.461869	-595.823653	-595.823653	5.75332	45.475000	0.000000		160.958415	NaN
398.610000	219.169630	9.461869	-595.823653	-595.823653	5.75332	45.475000	0.000000		160.958415	NaN
399.110000	219.169630	9.461869	-595.823653	-595.823653	5.790954	45.475000	0.000000		160.967295	NaN
399.610000	219.169630	9.461869	-595.823653	-595.823653	5.7815460000000005	45.475000	0.000000		160.967295	NaN
400.110000	219.169630	9.461869	-595.823653	-595.823653	5.809771	45.475000	0.000000		160.967295	NaN
400.610000	219.229717	9.464463	-595.823653	-595.823653	5.800363	45.475000	0.000000		160.967295	NaN
401.110000	219.229717	9.464463	-595.823653	-595.823653	5.823884	45.475000	0.000000		160.967295	NaN
401.610000	218.929280	9.451492	-595.823653	-595.823653	5.790954	45.475000	0.000000		160.976175	NaN
402.110000	218.869192	9.448898	-595.823653	-595.823653	5.81918	45.475000	0.000000		160.976175	NaN
402.610000	218.869192	9.448898	-595.823653	-595.823653	5.81918	45.475000	0.000000		160.976175	NaN
403.110000	218.869192	9.448898	-595.823653	-595.823653	5.814476	45.475000	0.000000		160.976175	NaN
403.610000	218.929280	9.451492	-595.823653	-595.823653	5.861518	45.475000	0.000000		160.976175	NaN
404.110000	218.869192	9.448898	-595.823653	-595.823653	5.85211	45.475000	0.000000		160.976175	NaN
404.610000	218.869192	9.448898	-595.823653	-595.823653	5.870927	45.475000	0.000000		160.976175	NaN
405.110000	218.568754	9.435928	-595.823653	-595.823653	5.85211	45.475000	0.000000		160.976175	NaN
405.610000	218.508667	9.433334	-595.823653	-595.823653	5.856814	45.475000	0.000000		160.985055	NaN
406.110000	218.508667	9.433334	-595.823653	-595.823653	5.889744	45.475000	0.000000		160.976175	NaN
406.610000	218.508667	9.433334	-595.823653	-595.823653	5.894448000000001	45.475000	0.000000		160.985055	NaN
407.110000	218.508667	9.433334	-595.823653	-595.823653	5.908561000000001	45.475000	0.000000		160.985055	NaN
407.610000	218.568754	9.435928	-595.823653	-595.823653	5.88504	45.475000	0.000000		160.993935	NaN
408.110000	218.508667	9.433334	-595.823653	-595.823653	5.899152	45.475000	0.000000		160.985055	NaN
408.610000	218.388492	9.428146	-595.823653	-595.823653	5.903857	45.475000	0.000000		160.985055	NaN
409.110000	218.208229	9.420364	-595.823653	-595.823653	5.932081999999999	45.475000	0.000000		160.993935	NaN
409.610000	218.208229	9.420364	-595.823653	-595.823653	5.9461949999999995	45.475000	0.000000		160.993935	NaN
410.110000	218.208229	9.420364	-595.823653	-595.823653	5.955604	45.475000	0.000000		160.993935	NaN
410.610000	218.268317	9.422958	-595.823653	-595.823653	5.965012	45.475000	0.000000		160.993935	NaN
411.110000	218.148142	9.417770	-595.823653	-595.823653	5.9461949999999995	45.475000	0.000000		160.993935	NaN
411.610000	218.208229	9.420364	-595.823653	-595.823653	5.979125	45.475000	0.000000		160.993935	NaN
412.110000	218.027967	9.412581	-595.823653	-595.823653	5.969716	45.475000	0.000000		161.002816	NaN
412.610000	217.907792	9.407393	-595.823653	-595.823653	5.955604	45.475000	0.000000		160.993935	NaN
413.110000	217.907792	9.407393	-595.823653	-595.823653	5.9744209999999995	45.475000	0.000000		161.002816	NaN
413.610000	217.847704	9.404799	-595.823653	-595.823653	5.988534	45.475000	0.000000		161.002816	NaN
414.110000	217.907792	9.407393	-595.823653	-595.823653	6.012055	45.475000	0.000000		161.002816	NaN
414.610000	217.847704	9.404799	-595.823653	-595.823653	5.983829	45.475000	0.000000		161.002816	NaN
415.110000	217.907792	9.407393	-595.823653	-595.823653	6.007351	45.475000	0.000000		161.011696	NaN
415.610000	217.607354	9.394423	-595.823653	-595.823653	6.021463000000001	45.475000	0.000000		161.011696	NaN
416.110000	217.547267	9.391829	-595.823653	-595.823653	6.012055	45.475000	0.000000		161.011696	NaN
416.610000	217.547267	9.391829	-595.823653	-595.823653	6.021463000000001	45.475000	0.000000		161.011696	NaN
417.110000	217.607354	9.394423	-595.823653	-595.823653	6.049689	45.475000	0.000000		161.002816	NaN
417.610000	217.607354	9.394423	-595.823653	-595.823653	6.0590980000000005	45.475000	0.000000		161.002816	NaN
418.110000	217.547267	9.391829	-595.823653	-595.823653	6.0449850000000005	45.475000	0.000000		161.020576	NaN
418.610000	217.487179	9.389235	-595.823653	-595.823653	6.068506	45.475000	0.000000		161.020576	NaN
419.110000	217.246829	9.378859	-595.823653	-595.823653	6.082619	45.475000	0.000000		161.020576	NaN
419.610000	217.246829	9.378859	-595.823653	-595.823653	6.077915	45.475000	0.000000		161.020576	NaN
