Time,secs	AreaA,cm²	AreaA,A²	Unused    	Unused    	PiA,mN/m	Unused    	Unused    	Unused    	Unused    	Unused    
53.090000	31.805841	1.373104	1278.249721	1278.249721	0.386407	-62.379878	0.000000		82.918995	Inf
53.590000	32.020502	1.382371	1278.325681	1278.325681	0.164983	-62.379878	0.000000		82.963396	Inf
54.090000	32.063435	1.384225	1278.249721	1278.249721	0.225766	-62.375629	0.000000		82.990037	Inf
54.590000	32.063435	1.384225	1278.173762	1278.173762	0.412457	-62.430874	0.000000		83.025558	Inf
55.090000	32.278096	1.393492	1278.249721	1278.249721	0.421140	-62.384128	0.000000		83.052198	Inf
55.590000	32.363960	1.397199	1278.173762	1278.173762	0.594806	-62.384128	0.000000		83.078839	Inf
56.090000	32.578621	1.406466	1278.325681	1278.325681	0.056441	-62.375629	0.000000		83.114360	Inf
56.590000	32.664486	1.410173	1278.401640	1278.401640	0.130249	-62.388378	0.000000		83.141001	Inf
57.090000	32.793283	1.415733	1278.173762	1278.173762	0.125908	-62.379878	0.000000		83.167641	Inf
57.590000	32.793283	1.415733	1278.249721	1278.249721	0.238791	-62.375629	0.000000		83.194282	Inf
58.090000	32.922079	1.421294	1278.249721	1278.249721	0.013025	-62.392627	0.000000		83.220923	Inf
58.590000	33.093808	1.428707	1278.097802	1278.097802	0.225766	-62.379878	0.000000		83.265324	Inf
59.090000	33.222605	1.434268	1278.173762	1278.173762	0.178008	-62.379878	0.000000		83.283084	Inf
59.590000	33.265537	1.436121	1278.173762	1278.173762	0.156299	-62.375629	0.000000		83.318605	Inf
60.090000	33.437266	1.443535	1278.021843	1278.021843	-0.060783	-62.392627	0.000000		83.363006	Inf
60.590000	33.480199	1.445388	1278.021843	1278.021843	0.251816	-62.430874	0.000000		83.380767	Inf
61.090000	33.608995	1.450949	1278.021843	1278.021843	0.408115	-62.392627	0.000000		83.398527	Inf
61.590000	33.737792	1.456509	1278.097802	1278.097802	0.703347	-62.375629	0.000000		83.425168	Inf
62.090000	33.866589	1.462069	1278.249721	1278.249721	0.525339	-62.430874	0.000000		83.451809	Inf
62.590000	33.866589	1.462069	1277.945883	1277.945883	0.351674	-62.388378	0.000000		83.487329	Inf
63.090000	34.124182	1.473190	1278.173762	1278.173762	0.143274	-62.430874	0.000000		83.540611	Inf
63.590000	34.081250	1.471337	1278.097802	1278.097802	0.065125	-62.392627	0.000000		83.558371	Inf
64.090000	34.252979	1.478750	1277.869924	1277.869924	0.099858	-62.430874	0.000000		83.576132	Inf
64.590000	34.424708	1.486164	1278.249721	1278.249721	0.086833	-62.426624	0.000000		83.611653	Inf
65.090000	34.510572	1.489871	1278.097802	1278.097802	0.264841	-62.430874	0.000000		83.638293	Inf
65.590000	34.553505	1.491725	1277.945883	1277.945883	0.264841	-62.392627	0.000000		83.673814	Inf
66.090000	34.725234	1.499138	1278.249721	1278.249721	0.134591	-62.388378	0.000000		83.718215	Inf
66.590000	34.768166	1.500992	1278.021843	1278.021843	0.117225	-62.396877	0.000000		83.744856	Inf
67.090000	34.896963	1.506552	1278.021843	1278.021843	0.169324	-62.388378	0.000000		83.771497	Inf
67.590000	35.025759	1.512112	1278.249721	1278.249721	0.095516	-62.379878	0.000000		83.789257	Inf
68.090000	35.154556	1.517673	1278.173762	1278.173762	0.204057	-62.430874	0.000000		83.824778	Inf
68.590000	35.197488	1.519526	1277.945883	1277.945883	0.377723	-62.384128	0.000000		83.842538	Inf
